,team1,team2,games
189,Arizona State,TCU,2
190,Arizona State,Tennessee,0
191,Arizona State,Texas,1
192,Arizona State,Texas A&M,1
193,Arizona State,Texas Tech,4
194,Arizona State,UCF,1
195,Arizona State,UCLA,40
196,Arizona State,USC,40
197,Arizona State,Utah,34
198,Arizona State,Vanderbilt,0
199,Arizona State,Virginia,0
200,Arizona State,Virginia Tech,0
201,Arizona State,Wake Forest,1
202,Arizona State,Washington,39
203,Arizona State,Washington State,47
204,Arizona State,West Virginia,2
205,Arizona State,Wisconsin,5
206,Arizona State,Notre Dame,4
207,Arizona State,Connecticut,0
208,Arizona State,SMU,1
209,Arizona State,Tulane,0
210,Arkansas,Auburn,33
211,Arkansas,Baylor,70
212,Arkansas,Boston College,0
213,Arkansas,BYU,2
214,Arkansas,California,1
215,Arkansas,Cincinnati,1
216,Arkansas,Clemson,0
217,Arkansas,Colorado,0
218,Arkansas,Duke,1
219,Arkansas,Florida,13
220,Arkansas,Florida State,0
221,Arkansas,Georgia,16
222,Arkansas,Georgia Tech,2
223,Arkansas,Houston,18
224,Arkansas,Illinois,0
225,Arkansas,Indiana,0
226,Arkansas,Iowa,1
227,Arkansas,Iowa State,1
228,Arkansas,Kansas,3
229,Arkansas,Kansas State,6
230,Arkansas,Kentucky,8
231,Arkansas,Louisville,0
232,Arkansas,LSU,68
233,Arkansas,Maryland,0
234,Arkansas,Miami,3
235,Arkansas,Michigan,1
236,Arkansas,Michigan State,0
237,Arkansas,Minnesota,1
238,Arkansas,Mississippi State,34
239,Arkansas,Missouri,15
240,Arkansas,NC State,0
241,Arkansas,Nebraska,1
242,Arkansas,North Carolina,2
243,Arkansas,Northwestern,1
244,Arkansas,Ohio State,1
245,Arkansas,Oklahoma,13
246,Arkansas,Oklahoma State,46
247,Arkansas,Ole Miss,70
248,Arkansas,Oregon,0
249,Arkansas,Oregon State,0
250,Arkansas,Penn State,1
251,Arkansas,Pittsburgh,0
252,Arkansas,Purdue,0
253,Arkansas,Rutgers,2
254,Arkansas,South Carolina,24
255,Arkansas,Stanford,1
256,Arkansas,Syracuse,0
257,Arkansas,TCU,70
258,Arkansas,Tennessee,19
259,Arkansas,Texas,78
260,Arkansas,Texas A&M,80
